issn_l,citescore_analogo
0103-8842,0.06
0104-1886,0.0
0104-2777,0.07
0103-5665,0.0
0103-8699,0.11
0103-8486,0.18
0104-3463,0.0
0103-7978,0.17
0109-5641,2.21
0104-4230,1.27
0105-2896,9.09
0112-1642,7.96
0105-6263,0.0
0120-4157,0.79
0104-5970,0.16
0120-8322,0.46
0104-4060,0.25
0104-6632,1.43
0104-3579,0.08
0120-0488,0.27
0120-5307,1.53
0104-754X,0.28
0104-7809,0.12
0120-0534,0.88
0104-530X,0.7
0104-6829,0.12
0104-7795,0.03
0104-7043,0.17
0120-2812,0.96
0104-8740,0.05
0104-4036,0.69
0120-0011,2.03
0104-8481,0.05
0104-8775,0.04
0104-5962,0.17
0104-3757,0.12
0104-639X,0.1
0104-9712,0.17
0104-9224,0.91
0121-215X,1.08
0104-8929,0.02
0120-9965,1.33
0104-6497,0.65
0104-4931,0.0
0104-6330,0.0
0104-4486,0.0
0104-6578,0.33
0104-7841,0.03
0140-6736,18.01
0146-0404,3.23
0141-8130,7.79
0146-9592,2.98
0148-396X,0.84
0161-6420,3.2
0161-8105,0.62
0160-5682,2.08
0144-8420,0.91
0147-8389,1.0
0148-7299,0.0
0143-4004,0.96
0162-0134,2.34
0145-482X,0.6
0143-005X,2.55
0143-5221,4.31
0144-3615,1.78
0140-0118,3.18
0145-2134,2.9
0148-6071,2.11
0143-2885,3.95
0137-5881,2.54
0143-7496,3.7
0129-1831,1.0
0145-8876,2.48
0148-5598,7.33
0147-9563,1.72
0161-2840,1.72
0161-813X,2.61
0141-9838,0.88
0161-4754,0.46
0145-5680,1.79
0129-167X,0.52
0149-6085,2.52
0149-0451,2.54
0162-3109,0.0
0162-2889,2.14
0139-3006,0.68
0124-0064,1.56
0121-4500,0.89
0169-4332,5.68
0168-8278,1.92
0167-577X,2.42
0167-5273,2.16
0167-7322,5.69
0163-2116,1.6
0165-0327,4.27
0167-6369,3.77
0168-3659,9.39
0166-4328,2.61
0168-1656,3.46
0165-1781,4.07
0166-1280,0.0
0165-5876,1.25
0170-0839,3.77
0165-2478,2.53
0165-0114,2.38
0165-0270,2.59
0163-4984,3.16
0166-8641,0.38
0167-594X,2.59
0168-1702,3.36
0172-0643,1.05
0165-2370,6.26
0166-445X,4.09
0167-7012,1.6
0167-1987,6.58
0172-4622,4.88
0167-4943,4.07
0171-2985,1.64
0172-2190,2.54
0167-9899,0.0
0165-7380,1.59
0169-8141,3.17
0166-4972,7.7
0175-7571,1.29
0165-1838,0.0
0165-2125,2.25
0167-8396,1.59
0165-0521,0.56
0195-9131,0.4
0255-5476,2.25
0195-668X,2.48
0190-9622,1.05
0254-0584,5.06
0194-911X,2.89
0196-8904,10.87
0175-7598,6.19
0223-5234,5.44
0198-8859,0.91
0196-6553,1.01
0217-9792,2.09
0217-751X,1.12
0195-6663,3.45
0217-7323,1.31
0195-6701,2.3
0192-8651,2.49
0192-0790,1.81
0256-7040,1.09
0254-6299,2.86
0254-5330,3.28
0250-7005,1.4
0197-4572,1.97
0250-4707,2.01
0213-9111,0.27
0250-6807,1.85
0179-1613,0.87
0190-6011,3.95
0195-6671,1.48
0251-5350,2.4
0191-3123,1.04
0187-893X,0.57
0212-4521,0.74
0219-1997,0.85
0211-5638,0.09
0189-6725,0.78
0188-8145,1.34
0254-9247,0.39
0185-3325,0.74
0212-8799,0.24
0272-9172,0.0
0272-8842,5.34
0263-6352,0.52
0257-8972,6.43
0268-3768,3.56
0273-1223,3.58
0278-2391,0.85
0268-1161,1.39
0277-5387,2.37
0295-5075,1.94
0263-8762,6.78
0278-6915,2.65
0261-5614,5.15
0264-1275,5.36
0300-5771,4.25
0266-4356,0.44
0300-0664,1.87
0260-8774,4.96
0275-004X,1.34
0268-3369,2.88
0273-2289,2.7
0268-2575,2.91
0278-4297,1.25
0268-2605,4.5
0264-0414,3.01
0278-5846,3.42
0300-8126,3.65
0264-2751,6.07
0266-8254,1.93
0271-3683,1.54
0271-5333,3.05
0300-5577,1.48
0268-8921,2.32
0263-2136,1.48
0270-1367,1.45
0272-4634,1.27
0278-0240,1.0
0279-5442,0.97
0267-8179,1.62
0260-7476,1.83
0302-9743,1.42
0305-1048,14.21
0304-8853,2.54
0304-3940,1.82
0306-4522,2.5
0301-0104,2.44
0302-766X,2.48
0301-2115,1.33
0304-4165,2.69
0306-5251,2.05
0301-4851,3.08
0300-8177,3.93
0300-9084,2.77
0304-4017,2.28
0303-7207,3.25
0306-8919,4.48
0303-8467,1.84
0306-3674,5.4
0309-0167,2.72
0309-1740,5.43
0303-6979,4.64
0300-9475,1.59
0305-1870,1.74
0300-8584,2.39
0300-8916,0.93
0301-472X,0.69
0301-486X,2.77
0305-0270,2.07
0308-521X,5.14
0306-4565,2.56
0301-4460,1.93
0302-282X,2.77
0304-419X,6.52
0309-524X,1.88
0300-9831,1.48
0301-0406,0.15
0303-7657,0.44
0306-5456,0.0
0304-2847,1.35
0304-2685,0.13
0370-2693,4.08
0361-1981,1.68
0370-1972,1.72
0340-6245,2.83
0363-6135,2.85
0340-5354,4.15
0340-6199,2.32
0364-5134,4.52
0363-6119,1.81
0344-0338,4.04
0362-2525,1.11
0343-8651,2.25
0344-5704,2.04
0341-2695,2.33
0367-326X,2.19
0315-162X,0.98
0340-7004,4.96
0334-018X,0.86
0340-0131,2.72
0344-5607,1.77
0365-0596,1.54
0363-3624,1.1
0360-3997,4.6
0370-4106,0.0
0370-4661,0.39
0342-5282,1.1
0360-1234,1.72
0340-2096,0.83
0363-0269,0.7
0363-0242,1.61
0361-7734,1.84
0360-2532,3.95
0361-6525,1.05
0361-073X,1.1
0311-5518,1.94
0327-9545,1.55
0326-7091,0.06
0328-820X,0.02
0352-9568,1.62
0366-0567,0.0
0375-9601,2.67
0378-7753,7.07
0378-1097,1.6
0378-4371,2.73
0378-1119,2.7
0378-5173,5.92
0378-8741,4.86
0377-0427,1.77
0587-4246,0.66
0378-7796,4.12
0378-5122,2.02
0377-0486,1.63
0390-6078,1.59
0377-8401,2.31
0378-3782,1.88
0531-5565,3.59
0378-4320,1.82
0378-1909,1.34
0378-7346,2.03
0390-6663,0.96
0482-5004,0.0
0370-6583,0.59
0378-1844,0.11
0717-3458,3.16
0716-1549,0.29
0392-2936,0.32
0440-6605,0.73
0560-4613,0.33
0511-9618,0.87
0391-2078,2.69
0390-5616,0.97
0576-9787,1.23
0394-6169,0.81
0717-6945,0.69
0717-2079,0.33
0717-6767,0.0
0394-6975,0.42
0375-0183,0.69
0716-4491,0.05
0425-4082,0.04
0732-183X,1.43
0849-6757,0.0
0735-1097,1.0
0743-7463,4.19
0753-3322,7.62
0721-832X,2.12
0731-7085,3.11
0832-610X,2.24
0737-0806,0.63
0770-3198,1.83
0724-8741,3.27
0767-0974,0.36
0739-1102,2.46
0737-4038,7.71
0732-8893,1.66
0733-9372,1.43
0737-3937,2.82
0735-0414,1.75
0785-3890,3.48
0722-4060,1.32
0717-9367,0.42
0736-2935,0.17
0742-0528,1.95
0721-7595,3.47
0730-4625,0.71
0733-9496,2.03
0765-1597,0.57
0748-1187,1.55
0733-4648,1.5
0739-9332,1.19
0778-7367,2.67
0738-0151,0.82
0792-4259,0.58
0718-560X,0.94
0736-5829,1.33
0720-213X,0.73
0860-021X,2.95
0718-0306,0.0
0718-7475,0.0
0870-1741,0.08
0892-6638,2.83
0888-5885,3.73
0885-8993,4.59
0884-1616,2.42
0885-3924,0.8
0885-8977,3.32
0888-7543,2.96
0887-3585,1.88
0894-9115,1.4
0882-4010,3.33
0889-2229,1.2
0883-9441,1.51
0886-022X,3.45
0893-3952,6.42
0895-9811,1.51
0897-3806,1.92
0891-4222,2.7
0873-2159,0.0
0894-1130,0.98
0885-0666,1.9
0891-6934,4.12
0891-5520,2.64
0891-2963,1.22
0885-8624,4.17
0870-2551,0.84
0897-1897,2.09
0882-0139,2.1
0892-7014,2.12
0887-7963,1.62
0882-8245,1.48
0895-2779,1.5
0887-2171,1.15
0899-0220,0.61
0874-0283,0.27
0885-1158,0.87
0871-4657,0.1
0874-2049,0.44
0871-9187,0.63
0871-018X,0.0
0873-1152,0.17
0925-8388,5.46
0923-7534,1.35
0921-4526,3.5
0925-4005,7.48
0927-7757,5.04
0921-4534,1.52
0930-2794,2.78
0926-9959,2.95
0926-6690,5.97
0926-860X,3.16
0925-3467,5.13
0920-5861,5.06
0921-5107,4.97
0927-7765,4.66
0927-0256,3.57
0924-8579,3.65
0928-0987,3.85
0925-5273,8.54
0930-7516,1.65
0929-8673,2.49
0905-7161,3.2
0899-9007,2.34
0928-0707,4.35
0902-0063,1.42
0921-4488,1.47
0920-4741,5.02
0930-1038,1.78
0904-2512,1.4
0915-5287,0.76
0909-8836,1.24
0920-1742,2.62
0920-5063,3.32
0925-1022,1.11
0921-9668,3.09
0928-4680,2.99
0925-4692,4.3
0926-7220,3.58
0906-6691,1.54
0914-7470,2.15
0929-6441,0.44
0944-1344,5.39
0950-0618,8.55
0953-8984,2.16
0946-2716,4.19
0932-0067,2.71
0945-6317,2.07
0950-1991,3.37
0953-816X,2.38
0932-0113,2.21
0951-4198,1.59
0931-041X,1.94
0941-4355,1.73
0950-5423,4.24
0954-6111,1.97
0953-2048,2.98
0944-7113,7.85
0933-7407,3.22
0954-4062,1.59
0952-8369,1.42
0954-3899,2.35
0937-3462,1.39
0948-6143,2.49
0947-7349,1.6
0948-5023,3.11
0954-0121,1.1
0939-4753,2.7
0951-3590,2.32
0931-2048,1.27
0939-4451,4.28
0954-6928,1.24
0952-3871,1.93
0946-672X,3.53
0943-1853,1.23
0931-2250,2.54
0953-7287,5.95
0952-8091,0.16
0931-2668,1.51
0954-0261,2.4
0954-0105,5.46
0944-2006,1.33
0959-6526,11.69
0959-8049,2.36
0960-894X,1.89
0957-4174,6.5
0960-1481,8.58
0960-0779,5.3
0966-6362,1.26
0956-7135,6.25
0960-8923,2.47
0962-1067,2.94
0962-8436,9.08
0963-8288,1.82
0961-9534,4.6
0959-3330,1.75
0959-8103,2.17
0961-2033,1.76
0957-4530,2.92
0960-3115,2.85
0958-0670,2.26
0962-9351,1.95
0963-7486,3.52
0960-8931,1.74
0962-1105,2.95
0959-4973,1.81
0960-3271,2.85
0965-1748,2.6
0965-2299,3.1
0961-5423,0.68
0964-3397,3.1
0959-8278,2.31
0958-7578,0.78
0959-3985,1.28
0960-3123,1.77
0959-9851,2.34
0958-2592,1.21
0959-3543,1.69
0962-8827,0.43
0959-9673,1.21
0959-2709,2.23
0966-7903,0.89
1022-6680,4.61
1029-8479,5.13
1007-9327,3.66
0968-0896,2.61
1010-6030,3.65
1026-8022,1.44
0967-5868,1.43
1040-0397,2.09
0981-9428,5.0
1023-3830,4.42
0969-2126,4.21
1040-8428,5.01
0973-1482,1.26
0968-0160,1.58
1040-6387,1.18
0967-3334,2.53
1020-4989,1.53
0967-6120,3.08
1027-3719,1.31
1021-7770,12.58
1040-7278,4.07
1015-1621,2.28
0997-7546,1.82
1022-6508,0.92
1024-5332,1.71
1023-6198,0.96
0971-9202,0.39
0972-1525,2.1
1036-1073,1.71
0972-124X,0.61
0969-997X,1.26
0971-7196,1.02
1015-2008,1.12
1008-9969,0.0
0972-9062,0.99
1040-841X,6.41
1026-7999,1.3
1011-2251,0.26
1011-484X,0.31
0974-0333,1.55
1064-3745,1.08
1058-4838,5.01
1046-6673,0.4
1048-891X,0.49
1068-9265,1.57
1059-9495,1.68
1043-6618,9.92
1043-4666,3.1
1064-8011,1.99
1071-3581,1.39
1052-3057,2.59
1047-9511,0.7
1051-9815,1.06
1059-910X,2.61
1050-7256,5.59
1058-0468,2.14
1046-7408,2.32
1059-1311,2.19
1042-0533,1.48
1057-0829,2.04
1055-6656,1.15
1063-5157,5.58
1060-1325,2.14
1056-8727,2.61
1040-872X,2.37
1050-6411,2.03
1053-8127,1.22
1064-1963,3.7
1061-3773,2.8
1045-1056,2.59
1063-8652,1.06
1062-0303,0.84
1046-3976,4.35
1064-7449,1.0
1054-7738,1.55
1066-9817,1.43
1064-1955,2.8
1061-3749,0.46
1055-4181,1.13
1064-9506,1.14
1091-8213,0.09
1098-0121,0.0
1101-1262,0.38
1099-0682,1.56
1089-7798,2.92
1096-7192,0.6
1082-0132,1.2
1095-6433,2.11
1097-0339,0.75
1120-8694,0.54
1120-6721,1.12
1094-7159,0.44
1072-3714,2.48
1089-9472,0.91
1096-4959,2.22
1082-6084,1.15
1076-1608,0.98
1092-7875,1.43
1099-0062,0.0
1093-3263,2.26
1084-9521,4.13
1094-2912,3.82
1076-1551,7.21
1079-9907,1.51
1080-7039,1.7
1079-9796,1.73
1092-9134,1.41
1092-8758,2.06
1093-5266,0.68
1076-6294,1.28
1088-1913,3.05
1085-9489,1.58
1098-8823,3.08
1074-9357,1.83
1080-0549,7.37
1074-7931,0.98
1071-412X,0.0
1083-3196,0.68
1087-1640,1.62
1091-367X,1.05
1175-5326,0.56
1144-0546,2.5
1201-9712,2.18
1179-3155,0.52
1328-8067,0.46
1290-0729,4.63
1313-2970,1.03
1320-5358,1.27
1323-1650,1.79
1121-8428,2.07
1286-4579,3.14
1176-9106,3.1
1279-7707,4.36
1129-7298,1.38
1176-9092,3.08
1286-0115,0.55
1219-4956,3.55
1172-7047,6.43
1230-2821,1.26
1322-7114,1.82
1134-3478,2.09
1179-1411,1.34
1319-2442,0.04
1229-845X,1.64
1319-6103,5.39
1138-7416,2.32
1324-4272,1.35
1138-1728,0.27
1175-3277,3.46
1130-1406,1.56
1309-0380,0.72
1179-5549,2.57
1280-9659,0.89
1177-9322,2.47
1178-7058,1.82
1137-2729,0.07
1134-4539,0.0
1179-1543,6.17
1179-5735,2.23
1177-9314,0.0
1383-5866,8.54
1388-6150,4.04
1364-8535,6.84
1368-5031,0.85
1387-7003,5.49
1389-9457,1.06
1367-2630,2.81
1387-2877,2.63
1353-8020,1.42
1381-6128,2.48
1364-5072,2.57
1359-5113,4.96
1368-9800,2.44
1388-2481,3.86
1388-0764,3.48
1386-6532,3.12
1362-4393,1.59
1369-3786,3.48
1369-703X,3.3
1364-5021,2.26
1364-727X,2.05
1342-937X,5.34
1382-6689,3.39
1383-5718,2.29
1383-5769,1.36
1360-8592,1.39
1360-7863,2.07
1381-1177,0.0
1347-8613,2.53
1381-1991,3.43
1354-750X,2.02
1350-4622,3.42
1350-6129,3.05
1343-8786,0.25
1385-2256,6.06
1358-2267,1.43
1389-2029,5.73
1362-0436,2.65
1367-5567,4.6
1331-1441,1.47
1413-8123,0.97
1413-8670,0.14
1398-2273,1.53
1414-3283,0.74
1413-7054,1.26
1413-3555,0.62
1413-9596,0.26
1413-2478,0.33
1389-9600,2.13
1413-7852,0.52
1413-4152,0.62
1413-7895,0.06
1413-7372,0.29
1414-381X,1.06
1413-8557,0.3
1414-3984,0.39
1413-389X,0.0
1409-4258,0.98
1413-8271,0.23
1413-9936,0.73
1413-294X,1.95
1414-0543,0.91
1413-9855,0.18
1413-6538,0.5
1405-9436,0.2
1413-3482,0.41
1414-4077,0.33
1414-3518,0.11
1413-0939,0.01
1413-8638,0.25
1414-4190,0.02
1413-7321,0.08
1409-0724,0.36
1413-0416,0.05
1413-3342,0.0
1409-4568,0.5
1413-3024,0.12
1413-4063,0.19
1413-2087,0.0
1413-1498,0.06
1414-7327,0.0
1415-4366,1.26
1415-4757,1.41
1414-8536,0.28
1414-8145,0.43
1415-790X,0.87
1414-9893,0.31
1415-4714,0.09
1415-5273,0.71
1414-526X,0.67
1415-076X,0.21
1414-5731,0.09
1414-753X,0.36
1415-4676,0.06
1414-7564,0.07
1415-0980,0.73
1415-7128,0.11
1415-2177,0.0
1414-7416,0.11
1415-1928,0.05
1415-7713,0.28
1414-5138,0.11
1414-8862,1.26
1414-462X,0.6
1415-2762,0.34
1415-2843,0.13
1414-4980,1.05
1414-512X,0.16
1415-2150,0.3
1415-7314,0.12
1414-5235,0.25
1414-6312,0.05
1414-722X,0.22
1415-5796,0.0
1414-7165,0.06
1414-4425,0.46
1414-6975,1.15
1415-5893,0.14
1415-398X,0.0
1415-7977,0.0
1422-0067,5.76
1424-8220,4.49
1420-3049,5.19
1431-9276,0.59
1462-0324,1.98
1434-6044,4.64
1433-9277,0.27
1439-6319,2.35
1432-7643,1.9
1424-8247,5.14
1440-2440,1.8
1432-2234,1.79
1447-0756,1.24
1432-8488,3.1
1432-6981,3.51
1424-2818,1.92
1431-6730,2.28
1444-1586,1.63
1436-6207,3.43
1442-9985,1.12
1432-8917,2.05
1420-4096,1.67
1438-4639,3.28
1438-793X,3.39
1415-8876,0.56
1415-8264,0.31
1447-073X,1.24
1415-9805,0.23
1415-8426,0.18
1415-8167,0.05
1415-8175,0.12
1415-9945,0.04
1415-9104,0.06
1450-104X,1.21
1415-9848,0.33
1435-5930,2.84
1432-4385,1.47
1415-837X,0.0
1415-8973,0.2
1450-5959,0.38
1463-9076,3.2
1471-2458,4.08
1464-780X,6.49
1471-2407,3.47
1471-2164,3.92
1472-6963,3.36
1471-2334,2.7
1470-1626,3.36
1471-2474,2.62
1476-4954,1.56
1473-3099,10.72
1471-2393,2.56
1471-2431,2.14
1471-2180,3.73
1473-2130,2.66
1471-2369,2.48
1473-0502,0.68
1476-511X,6.89
1467-3037,3.8
1474-5151,1.5
1471-4922,3.04
1477-7525,2.94
1473-7140,2.44
1462-2416,1.44
1472-9792,2.06
1476-9271,2.68
1467-3010,2.85
1476-4431,0.92
1472-684X,3.38
1466-853X,1.86
1477-7835,4.03
1473-3145,1.59
1464-7141,4.23
1466-0970,0.79
1476-3141,1.58
1474-8185,1.93
1471-2172,2.84
1476-4172,1.21
1476-0711,5.84
1472-8923,0.18
1477-9226,3.08
1513-7368,1.56
1516-6600,0.19
1516-1439,1.0
1516-8913,1.4
1516-4446,0.84
1477-9072,1.77
1516-1846,0.13
1516-3180,0.93
1516-3725,0.6
1516-8484,0.0
1516-7313,0.33
1516-7275,1.9
1514-3465,0.15
1516-3210,0.09
1516-4136,0.29
1516-4896,0.5
1516-2168,0.22
1516-5388,0.19
1516-7704,0.67
1516-4381,0.32
1516-3083,0.02
1516-3687,0.24
1516-1498,0.26
1516-8034,0.0
1516-084X,0.27
1516-3717,0.0
1479-389X,0.34
1516-0858,0.2
1516-0939,0.53
1516-8182,0.17
1514-0105,0.09
1516-2567,0.1
1516-3091,0.02
1516-2664,0.17
1516-0785,0.08
1516-4020,0.05
1516-1579,0.07
1516-7356,0.0
1516-5477,0.11
1517-8382,2.14
1517-7076,1.62
1517-8692,18.0
1518-1634,0.49
1517-3852,0.48
1517-9702,0.38
1517-1949,0.13
1518-1944,0.35
1517-0276,0.0
1517-0306,0.16
1517-6398,0.77
1517-106X,0.04
1517-2473,0.2
1517-5545,0.14
1517-6312,0.07
1517-9869,0.04
1517-7874,0.0
1517-9699,0.04
1517-1256,0.14
1518-2002,0.16
1517-1000,0.22
1517-395X,0.15
1517-1108,0.03
1516-9375,0.0
1517-591X,0.0
1517-4492,0.09
1517-9443,0.0
1518-2886,0.06
1517-0241,0.06
1516-9286,0.02
1517-6770,0.0
1518-2851,0.1
1517-3941,0.15
1517-6096,0.13
1517-1914,0.0
1518-1243,0.06
1517-848X,0.22
