sigla,sdg_id,n,share
UFCSPA,1,198,0.02993
UFCSPA,10,174,0.0263
UFCSPA,17,131,0.0198
UFCSPA,6,131,0.0198
UFCSPA,15,123,0.01859
UFCSPA,16,116,0.01753
UFCSPA,14,75,0.01134
UFCSPA,7,58,0.00877
UFCSPA,8,52,0.00786
UFCSPA,9,43,0.0065
UFCSPA,11,35,0.00529
UFCSPA,12,35,0.00529
UFCSPA,13,28,0.00423
UNIVASF,3,1269,0.2368
UNIVASF,4,744,0.13883
UNIVASF,2,676,0.12614
UNIVASF,15,641,0.11961
UNIVASF,6,325,0.06065
UNIVASF,14,271,0.05057
UNIVASF,5,230,0.04292
UNIVASF,7,200,0.03732
UNIVASF,10,183,0.03415
UNIVASF,16,158,0.02948
UNIVASF,11,124,0.02314
UNIVASF,8,108,0.02015
UNIVASF,12,103,0.01922
UNIVASF,13,98,0.01829
UNIVASF,9,94,0.01754
UNIVASF,1,74,0.01381
UNIVASF,17,61,0.01138
UFRB,4,917,0.1686
UFRB,15,711,0.13072
UFRB,3,676,0.12429
UFRB,2,667,0.12263
UFRB,6,518,0.09524
UFRB,10,363,0.06674
UFRB,14,355,0.06527
UFRB,5,241,0.04431
UFRB,16,194,0.03567
UFRB,11,160,0.02942
UFRB,7,139,0.02556
UFRB,8,118,0.0217
UFRB,12,100,0.01839
UFRB,9,98,0.01802
UFRB,13,85,0.01563
UFRB,1,55,0.01011
UFRB,17,42,0.00772
UFFS,4,1438,0.26556
UFFS,3,879,0.16233
UFFS,2,602,0.11117
UFFS,15,404,0.07461
UFFS,10,288,0.05319
UFFS,6,286,0.05282
UFFS,16,243,0.04488
UFFS,11,230,0.04247
UFFS,5,188,0.03472
UFFS,14,164,0.03029
UFFS,8,153,0.02825
UFFS,12,146,0.02696
UFFS,7,94,0.01736
UFFS,13,89,0.01644
UFFS,9,88,0.01625
UFFS,17,74,0.01367
UFFS,1,49,0.00905
UFRA,15,1518,0.31183
UFRA,2,823,0.16906
UFRA,14,790,0.16228
UFRA,6,348,0.07149
UFRA,3,290,0.05957
UFRA,4,198,0.04067
UFRA,11,162,0.03328
UFRA,12,160,0.03287
UFRA,13,157,0.03225
UFRA,7,82,0.01684
UFRA,8,77,0.01582
UFRA,10,71,0.01459
UFRA,9,50,0.01027
UFRA,5,49,0.01007
UFRA,16,43,0.00883
UFRA,1,28,0.00575
UFRA,17,22,0.00452
